SYMBOL,K,K_used,Z,P,Dir,FDR
LOC202181,3,2,3.299220954577316,9.695356563246639e-4,up,0.002140656962075552
LOC100505795,1,1,3.29906396778174,9.700780299687224e-4,up,0.002141637582921328
LOC100652999,2,2,3.2987047157202687,9.713202672507328e-4,up,0.0021441629350276658
CSRP2BP,1,1,-3.2984248027604313,9.722891832501858e-4,down,0.0021460844876012254
SLC26A4-AS1,3,3,-3.297812767106129,9.744108576352696e-4,down,0.0021505498185165534
LOC105373945,2,1,3.2975673403125993,9.752628544731013e-4,up,0.0021520643620801527
SPART,3,2,3.2975582216637926,9.752945230655433e-4,up,0.0021520643620801527
PDRG1,5,3,3.296913984961116,9.775343353637036e-4,up,0.0021567883863236616
CEP295,5,3,-3.296593090275357,9.78651763494946e-4,down,0.0021590353264474113
LINC00511,1,1,3.2965343284201802,9.788565136962237e-4,up,0.0021592685272782933
TIMM21,5,3,-3.296380079038269,9.79394170015257e-4,down,0.0021602359672706012
PTPRE,5,3,-3.2961346727342282,9.802501293148748e-4,down,0.002161905216913868
BCL11A,5,4,-3.2957634092434303,9.815463860701032e-4,down,0.0021645450903008618
MFF,5,4,-3.2952669943047272,9.832820858666003e-4,down,0.0021681534089185548
BCAS3,5,4,-3.2951715238386616,9.836162211299903e-4,down,0.0021686708370605703
NDP,5,3,3.294354031488362,9.864816544549772e-4,up,0.002174582942886934
MED27,5,4,-3.294349604416501,9.864971930256309e-4,down,0.002174582942886934
ZBTB26,5,3,3.2937886040604343,9.884680819763835e-4,up,0.0021787071737101545
USP35,5,5,3.292890080530044,9.916323440022415e-4,up,0.0021854606481594083
CPNE5,5,3,-3.2927524506913484,9.921178519915594e-4,down,0.002186309642299402
CAMK2N1,5,3,-3.2917533846467055,9.956487961664167e-4,down,0.0021938689514073226
SNORA57,3,3,3.29168118619077,9.95904413425659e-4,up,0.0021942104211311567
TIGD1,4,3,-3.2914325689182813,9.96785103053246e-4,down,0.0021959288633451716
TBCB,5,3,-3.2910597548292078,9.981070927265092e-4,down,0.002198619049058364
UBN2,5,3,-3.290547059827305,9.99927747773621e-4,down,0.0022024070346749556
SPHK1,4,3,3.290436854927158,0.0010003195027688436,up,0.002203047325978741
RRNAD1,2,2,3.290338031179909,0.0010006709210155953,up,0.0022035986615213127
AMPH,5,3,-3.2895923939642895,0.0010033261011529657,down,0.00220922253623228
MS4A7,5,4,3.289514620489245,0.0010036034242455459,up,0.002209610003229362
RNU6-8,1,1,3.28935541669381,0.0010041713312494169,up,0.002210637099118301
TCEAL9,4,3,3.2890707220618784,0.0010051876271134923,up,0.0022124883750426175
