SYMBOL,logFC,SE,P.Value,acc,region
ADAP1,0.624766858102808,0.20682542761550857,0.00524291685003311,GSE278723_CA1,hippocampus_CA1
ADAP2,-0.0765184600432744,0.23919725208225828,0.751355225434886,GSE278723_CA1,hippocampus_CA1
ADAR,0.271554798379561,0.08409555278311834,0.00309566734965256,GSE278723_CA1,hippocampus_CA1
ADARB1,-0.114355093373639,0.21981388488050443,0.606874695265722,GSE278723_CA1,hippocampus_CA1
ADARB2,0.811084828574696,0.227776373980793,0.00130720903430525,GSE278723_CA1,hippocampus_CA1
ADAT1,-0.0443465231563503,0.1426759037015896,0.758175498018856,GSE278723_CA1,hippocampus_CA1
ADAT2,-0.606579145684471,0.2883238978583899,0.0442429030986183,GSE278723_CA1,hippocampus_CA1
ADAT3,1.31233308106527,0.30371142031980103,1.6826198119953e-4,GSE278723_CA1,hippocampus_CA1
ADCK1,0.182734417113062,0.23318660838039781,0.439647342789968,GSE278723_CA1,hippocampus_CA1
ADCK2,0.651958309379607,0.17255032595968653,7.3351893229103e-4,GSE278723_CA1,hippocampus_CA1
ADCK3,0.402126536829254,0.13307710676298376,0.00522969326717198,GSE278723_CA1,hippocampus_CA1
ADCK4,0.561905595875043,0.11972089744955214,6.02893107698162e-5,GSE278723_CA1,hippocampus_CA1
ADCK5,0.639673537590999,0.23717753204837796,0.0115654412573073,GSE278723_CA1,hippocampus_CA1
ADCY1,0.252059692745665,0.18306079394056302,0.179145061704975,GSE278723_CA1,hippocampus_CA1
ADCY2,0.282538160202408,0.13152653665356168,0.040246278579627,GSE278723_CA1,hippocampus_CA1
