SYMBOL,logFC,SE,P.Value,acc,region,study_id
EDF1,1.08359317335202,0.13760056145901656,1.15383066958068e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
EDNRA,-1.25366826256195,0.33365156200421237,7.7578731387206e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
EHD1,1.09228154924825,0.17551844193963242,8.90318096183196e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
EIF1AY,-2.93839848421735,1.3371340644381833,0.036176128722825,GSE278723_CA1,hippocampus_CA1,GSE278723
EIF4E,-1.00218198398474,0.41874671556670373,0.023439571261713,GSE278723_CA1,hippocampus_CA1,GSE278723
EIF5B,-1.02045136947528,0.16786528132054304,1.31819263559656e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ELAVL2,-1.39737010869929,0.39689106543037744,0.00145267594771538,GSE278723_CA1,hippocampus_CA1,GSE278723
ELFN2,1.04511962575609,0.2908929211874957,0.00120161069854336,GSE278723_CA1,hippocampus_CA1,GSE278723
ELL2,-1.1126188100119,0.18093652412290503,1.08860504863847e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ELOF1,1.00630731853719,0.25599203690070205,4.8663484570169e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ELOVL4,-1.02548020806004,0.3358660941650752,0.00483340007236012,GSE278723_CA1,hippocampus_CA1,GSE278723
EMCN,-1.32585158446214,0.3289415047647174,3.7160149329052e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ENHO,1.62202677254464,0.3855382216709978,2.2978459770178e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ENPEP,-1.11460958914256,0.35868990856482624,0.0042172537744127004,GSE278723_CA1,hippocampus_CA1,GSE278723
ENTPD2,1.98456088190084,0.3507889969018918,4.18763481476202e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ERBB2,1.24901506527162,0.24115534116210485,1.56986315874274e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ERBB2IP,-1.07290809631548,0.23070436371497546,6.78776378302221e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
ETHE1,1.03980019156583,0.24269143721746722,1.85987388917e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
EVA1B,1.76371428590843,0.44769542970389625,4.7555401756649e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
EVC,1.22734042956181,0.25630289579996346,4.63330140951483e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
EXOC6,-1.02818677133468,0.1378815898843788,3.36397942067013e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
F8A3,1.02078324623158,0.1574993243749734,4.43057677256031e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM101A,1.05172548227147,0.3034823088790444,0.00167915690016832,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM107A,1.00424140880811,0.2782790191675456,0.0011519650526144,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM126A,-1.02201544224295,0.14789367852365745,1.40721680504524e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM127A,1.05386302107383,0.15862758196510113,2.86435589816209e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM131C,1.61582412272768,0.4591800955638759,0.00145977995338794,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM167A,1.11525171745959,0.3231799038068822,0.00174473001454625,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM173A,1.61358998738747,0.3038219415059845,1.09021236367023e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM179A,1.28658261327979,0.386979566992949,0.00242152657401865,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM181A,1.03229848870283,0.363228607543939,0.00815117682647462,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM181B,1.19264654801194,0.24983946150410516,4.82946036210033e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM212A,1.06770771018841,0.42589969652578175,0.0180754793123679,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM57B,1.06928925088108,0.29533395767584636,0.00111638691492551,GSE278723_CA1,hippocampus_CA1,GSE278723
FAM96B,1.30429219978842,0.18127315438042368,6.64882742167412e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
FANCB,-1.12656873538449,0.30810019729607235,0.00101505532827887,GSE278723_CA1,hippocampus_CA1,GSE278723
FANCM,-1.01834212089507,0.17933605617644396,3.95253390305818e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
FAU,1.0890232730834,0.18784215985140051,2.8482454819263e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
FBLN1,1.26480732771176,0.2086086445257778,1.37673118043372e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
FBXL15,1.03818221549239,0.18949638736572552,6.85737752608531e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
FBXL7,1.0270325727228,0.19113754518342843,9.1761322005849008e-06,GSE278723_CA1,hippocampus_CA1,GSE278723
FBXO2,1.22970757336727,0.13925582844580048,1.08619265323305e-9,GSE278723_CA1,hippocampus_CA1,GSE278723
FBXO22,-1.02662358599766,0.29066485266302183,0.00141055243805708,GSE278723_CA1,hippocampus_CA1,GSE278723
FBXW5,1.08599734054947,0.17035133694693813,5.89976297804465e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
