"","LOAD1","LOAD2","LOAD3","LOAD4","CTRL1","CTRL2","CTRL3","CTRL4"
"DPP10",6.10775411692114,5.696836322316,5.38364218636724,6.26016666360676,6.31630277937076,5.17439475643631,5.49070153368729,5.78671984199799
"LOC105373575",1.31012242901211,2.56041565976536,1.9465403448316,2.50777356552612,2.23271999852833,1.30851499925099,1.96519916718141,1.8351219390596
"LOC107985937",0.739099200050701,0.822867406885562,1.15666810767679,1.45698524936586,1.16351338341712,-0.414059250672949,0.438531726157873,1.23911454904097
"DPP10-AS1",1.29658596645109,0.822867406885562,0.576038969752283,1.24594819083186,1.03785615964932,-0.27212701412282,0.999490530649672,1.45439560124116
"DDX18",5.87084287656331,5.50434489408453,5.43832489496347,5.67236096327917,5.82266205881818,5.6297999291349,5.62894851801687,5.46647391193487
"LOC107985939",1.88571669245383,1.50712418056471,3.28562867919069,1.34872385118957,2.18905176968774,1.81734347628046,1.97999618853307,2.38118509990602
"CCDC93",6.18715625074418,6.34737144962153,6.41247552803128,6.39055776070103,6.16172468019709,6.24925678742611,5.92083587746665,6.25466900661486
"INSIG2",4.3661878403091,4.39517170157143,4.50088501469726,4.3236727422127,4.5026347340562,4.95105808577957,4.58203377637957,4.43740363564441
"C1QL2",1.67170647460576,2.52603155631254,2.35338766020248,0.875542751866115,1.45327265079232,4.03768903141821,2.96023386276142,2.88104349281905
"STEAP3",1.31012242901211,2.21282538095531,1.94192503854775,1.5229419662332,1.65219883165969,1.83313741904912,2.05178696306164,1.9560793014141
"C2orf76",2.17919698652807,2.00610965068526,2.31820591219055,2.57715437739293,2.44973493487227,2.50029593151259,2.04241876884909,2.04887696932015
"DBI",5.78801392795263,6.09330765100415,6.07609278057787,5.55760326194051,6.05731415791941,5.38526205821038,5.9833676658649,5.53308520135328
"CFAP221",3.65790981262853,3.94922716143339,2.9894645597268,3.74966607958555,3.3826962713769,3.17212586394731,3.72723144102249,3.445501061681
"TMEM177",2.26857678852529,3.08324762197262,2.57523902536354,2.70147371250392,2.18411713627736,2.88447495776888,2.55181392972926,2.84335821781509
"LOC101927764",1.80196658406957,2.44469698335584,1.99635749956314,2.32488904628931,1.82699029919024,2.59133536137205,2.15101146111189,2.59712843618706
"PTPN4",6.32813269303771,6.50151980474331,6.56620634825361,6.59812847740071,6.50768366304042,6.48557725039858,6.58405317686468,6.27199585913206
"EPB41L5",5.20835612458715,5.17376681398865,5.10788140557673,5.23246632492596,5.03859356521926,5.44365505756091,4.80130540012273,4.94727463437852
"LOC105373582",0.908848010056858,1.05104288692671,1.24174387160707,1.40704897865342,1.20307930651139,1.12823118898504,1.43853446834896,1.31973813191479
"TMEM185B",3.51910328729243,3.5447911916768,3.56313412794315,3.5208207327802,3.30754598605494,3.65338515402024,3.40968164846725,3.53939756515846
"RALB",5.53703122356625,5.80507917338083,5.67155528117758,5.27962535774147,6.13352486585676,6.08500848972782,6.11124249838193,5.85999359671158
"INHBB",1.0845360769946,1.85816401338559,0.836908321179728,1.3152722576597,0.435621098816525,1.79332355636474,1.86247272514646,1.55107688303075
"GLI2",1.10797492067654,1.49424645548996,2.28214472677292,0.875542751866115,0.748012577195672,2.0847497123069,0.350175505354626,1.23079873598948
