SYMBOL,logFC,SE,P.Value,acc,region,study_id
ANKRD36,-0.624398622053254,0.2186506725952707,0.00788338795832941,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD49,-1.00762205424239,0.13964902202212243,6.30636167334354e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD65,0.699884405012655,0.2542832233767547,0.0101283815651027,GSE278723_CA1,hippocampus_CA1,GSE278723
ANKRD7,-0.698537830749896,0.304879240685447,0.0294584964463256,GSE278723_CA1,hippocampus_CA1,GSE278723
ANLN,-0.819281296005317,0.2169619941241056,7.3787950471908e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANO3,-1.20277575990714,0.43115675704155465,0.00925705377987337,GSE278723_CA1,hippocampus_CA1,GSE278723
ANO5,-0.711508589446355,0.1780403744966472,4.0783992760127e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANO7,0.855198084098768,0.39899964184798953,0.0406620147313748,GSE278723_CA1,hippocampus_CA1,GSE278723
ANO8,0.793549205424923,0.18770775716617996,2.1731905332222e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
ANP32E,-0.782322330176288,0.17869243221729178,1.4386785757e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AP1AR,-0.648308805228805,0.18231592808961153,0.00132426390608593,GSE278723_CA1,hippocampus_CA1,GSE278723
AP1B1,0.983193991103352,0.13087805322211338,2.91649415191046e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
AP1S2,-0.761309850771645,0.22595999660950153,0.00215786115429789,GSE278723_CA1,hippocampus_CA1,GSE278723
AP2A1,0.612557162411244,0.1037381139298049,2.12198184800428e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
AP2S1,0.838036579125341,0.21710090225399517,5.8905116368008e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AP3S1,-1.16876908338922,0.17726775015792542,3.27845841060019e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
AP4E1,-0.777722982673684,0.13915902735102095,5.06037739847093e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
