SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
MVB12A,3,0.42045155800685513,0.1347054522973302,3.121266072280493,0.00180075252312382,0.1564337229829097,0.6844693930308006,0.04275539064264794,81.81787057211821,0.00362997055004961,7.803382619915968,6.026946321600563e-15,4.3589134504971056e-14,up,1.5701697556242098e-17,6.925275027437304e-17,0.0231297113093769,2.848179991114224e-17,3,up,"[0.156, 0.684]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ST3GAL4,3,0.3010017519321331,0.09653701356023764,3.1179932010669926,0.00182087004026774,0.11179268217901248,0.4902108216852537,0.01685171975123198,61.21679805942254,0.0036680026291932,5.096062452120399,3.467907655026514e-7,8.281023593388734e-7,up,1.135306971316301e-6,1.3697471603746244e-6,0.03354168830255367,6.427849853424834e-7,3,up,"[0.112, 0.490]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TSNARE1,4,0.4455167834726126,0.1431746526714714,3.1117015139187765,0.00186012471392717,0.1648996207374972,0.7261339462077279,0.0634426573966042,83.00225177371074,0.00374450637333452,7.6215677372870525,2.5061306655065853e-14,1.6246963245100953e-13,up,5.236289118289294e-16,1.9664578724638284e-15,0.01510400782090963,5.280820731643389e-5,4,up,"[0.165, 0.726]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CDK11A,3,0.4278720366481217,0.13769103556000334,3.1074792553336748,0.00188690227814078,0.15800256595649131,0.697741507339752,0.03054119940161572,52.3878771611824,0.00379320382576211,5.10818488025945,3.2526831027660873e-7,7.795740488999631e-7,up,4.056044205656466e-6,4.657939567419895e-6,0.02709652134456902,6.348408784962561e-5,3,up,"[0.158, 0.698]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
GNL3,3,-0.30474332904687046,0.0982103969311102,-3.1029640299756966,0.00191592925521637,-0.4972321699392295,-0.11225448815451144,0.02202251998131621,77.32074748687515,0.00384628371358632,-6.507379296395944,7.647315272507392e-11,2.9567217218995237e-10,down,3.3166721555123296e-10,5.97897936823458e-10,0.03977137131023488,1.023320546161239e-9,3,down,"[-0.497, -0.112]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PIEZO1,3,0.6047535005234623,0.19566769821939609,3.090717098564584,0.00199673776501234,0.22125185907559403,0.9882551419713306,0.09740963312197395,85.67447117316735,0.00399756441281993,8.001927634374931,1.2248636797092557e-15,1.0010114967351372e-14,up,3.5178265795058545e-25,4.26354766846722e-24,0.00985910851507227,6.057753449696501e-5,3,up,"[0.221, 0.988]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
GPALPP1,3,-0.3082273641905874,0.09976996757595186,-3.0893802181096555,0.00200574567508851,-0.5037729073781819,-0.11268182100299282,0.02397279086487009,81.12303216004939,0.00401285952594447,-6.9990047211952975,2.577871760019301e-12,1.1938447981580326e-11,down,7.776585591636296e-12,1.698341440079617e-11,0.03387771897861858,4.487237671979216e-6,3,down,"[-0.504, -0.113]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BTBD3,4,-0.34572566603966665,0.11200787093125424,-3.086619388130845,0.00202446631393078,-0.5652570590499357,-0.1261942730293975,0.02232058961633089,45.27199169306714,0.0040475526235576,-4.578868515679854,4.6749794059847654e-6,9.454857831066206e-6,down,1.5318611316526024e-4,1.5892991507382678e-4,0.02270806282476881,1.0023415636590968e-4,4,down,"[-0.565, -0.126]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
UTP15,3,-0.6125189545294695,0.19847052843845783,-3.08619601786066,0.00202735124092937,-1.0015140422614794,-0.22352386679745961,0.09802365861435444,86.18765245593967,0.00404780203515715,-7.815250333137004,5.485390223432176e-15,3.9894444847937464e-14,down,7.057853023278089e-39,3.6316987574166025e-37,0.02303509721958365,8.720458500037661e-11,3,down,"[-1.002, -0.224]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
MAK16,4,-0.4904050784238312,0.15910509352273458,-3.0822713941194912,0.00205427451440166,-0.802245331485268,-0.17856482536239443,0.08176966003534757,90.23853290042794,0.00409598038799461,-8.958096519662448,3.3033127908763036e-19,4.4790048998377565e-17,down,1.2078585676772724e-27,1.9791336195516427e-26,0.01510676214264693,1.7679312919216346e-26,4,down,"[-0.802, -0.179]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PRKACB,3,-0.5466329775059365,0.17739347596939942,-3.081471708690298,0.00205980049757191,-0.8943178014983308,-0.19894815351354217,0.07603767768998612,85.18653440744838,0.00410420846425165,-8.174997889612689,2.958710537479935e-16,2.6760541421650017e-15,down,6.706043425911983e-20,4.0976719517083015e-19,0.02026340458249985,4.486634410000852e-19,3,down,"[-0.894, -0.199]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
METTL15,3,-0.339383941580585,0.11020455488111972,-3.0795818008310687,0.0020729143711628,-0.5553809000798474,-0.12338698308132257,0.02932307485125039,83.15756614754268,0.00412753418236286,-7.520279243577885,5.465937194406328e-14,3.333216999310828e-13,down,5.0245811907263743e-14,1.4576752356479186e-13,0.03184687186407673,3.5558973152137906e-13,3,down,"[-0.555, -0.123]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
STRAP,3,-0.3216459915476966,0.10452177353184489,-3.0773108863264738,0.0020887732959275,-0.5265049032703644,-0.11678707982502871,0.02545561149671606,79.86478595338748,0.00415629041855859,-6.916278423856903,4.636627077052018e-12,2.0716024645407485e-11,down,4.250988712289846e-12,9.576151991663686e-12,0.03270420584814169,1.2453250036759727e-11,3,down,"[-0.527, -0.117]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TNIP1,3,0.3406842866510381,0.1107640340353276,3.0757663317171953,0.00209962319145772,0.12359076915942732,0.5577778041426489,0.02972411850787712,83.98479558973455,0.00417504733596304,7.92240823016704,2.3295401295560645e-15,1.811696720207866e-14,up,5.610267480239632e-17,2.33072443619587e-16,0.02523965323870382,3.988364272576907e-14,3,up,"[0.124, 0.558]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
VEGFB,3,0.5664332747259009,0.18434342081669197,3.0727067568587256,0.00212126826824798,0.20512680913827336,0.9277397403135283,0.08909666782891713,87.5806434652961,0.00421523023764996,8.518127797877234,1.621532165742269e-17,9.915510219772238e-16,up,3.664885597248827e-18,1.767945634330725e-17,0.02682764803538665,4.322204874191613e-7,3,up,"[0.205, 0.928]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
USP14,3,-0.4595587484394812,0.14958214168413325,-3.072283517707036,0.00212427854770028,-0.7527343588707498,-0.16638313800821253,0.0583648911188851,88.33298735677529,0.00421835408287403,-9.041494078912956,1.5454483505627752e-19,2.4738851556344142e-17,down,3.2861472573762595e-21,2.452485981141112e-20,0.02561061591241084,1.294015930180522e-7,3,down,"[-0.753, -0.166]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
GDPD5,3,0.42504829051693416,0.1383658737325722,3.0719156324517547,0.0021268983055208,0.153856161311676,0.6962404197221923,0.04640644949521161,82.01446248389664,0.00422043126149751,7.692458788847359,1.4433397905067682e-14,9.815088248308782e-14,up,2.3565442543666753e-18,1.1694998812279965e-17,0.0358330782431561,5.20878416049383e-7,3,up,"[0.154, 0.696]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SMIM8,3,-0.4559743587386648,0.1488771790184132,-3.062755230486129,0.00219309364509706,-0.7477682677346769,-0.16418044974265278,0.05677642255480818,86.58733893504576,0.0043461781493714,-8.259269529096658,1.4656663477219146e-16,2.0390703913993226e-15,down,7.964169027583125e-17,3.244292744152959e-16,0.04202039539526698,3.5322636394707948e-12,3,down,"[-0.748, -0.164]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SH3BP2,3,0.4555878881175901,0.1488928108391682,3.0598380509433016,0.00221456705826317,0.1637633413158855,0.7474124349192948,0.03356145740904785,49.021589046716855,0.00438516219364016,4.647974666933261,3.3521006921403e-6,6.943319087744912e-6,up,4.705481763723939e-5,5.042447209719515e-5,0.03497344189852616,9.100255436808955e-5,3,up,"[0.164, 0.747]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
