Specification,Gene,Datasets contributing (k),Pooled log2FC,SE,95% CI,Z,Pooled P (raw),Pooled P (FDR),Direction,Direction matches primary,I2 (%),Max raw LOO P
Sensitivity analysis 3b,KANK2,4,0.7487412220850901,0.08993497981349255,"[0.572, 0.925]",8.325361540502172,8.407175080613771e-17,2.152651989776909e-15,up,TRUE,16.582592462253047,2.083104786628493e-7
Sensitivity analysis 3b,ITFG1,5,-0.5867112124597093,0.07122966835518113,"[-0.726, -0.447]",-8.236893783277496,1.7673926010600126e-16,4.118620510784793e-15,down,TRUE,0,4.2088222923599474e-11
Sensitivity analysis 3b,TCEA3,4,0.6740826553401851,0.08237218611061159,"[0.513, 0.836]",8.183377025286287,2.759979181089778e-16,6.2219530669349996e-15,up,TRUE,0,1.612689975461709e-6
Sensitivity analysis 3b,KLF15,4,0.6740632436830439,0.08293105059671813,"[0.512, 0.837]",8.127995953661763,4.364457832505637e-16,9.528300573280727e-15,up,TRUE,6.185435565947503,7.11289934933816e-7
Sensitivity analysis 3b,NEUROD6,5,-1.219348122806311,0.15183445666368273,"[-1.517, -0.922]",-8.030773446288274,9.686007202531394e-16,1.843007242022946e-14,down,TRUE,0,1.1477379920119929e-7
Sensitivity analysis 3b,NRN1,4,-0.8503450884242201,0.10710273129415472,"[-1.060, -0.640]",-7.939527574593505,2.029527688436286e-15,3.660209065927702e-14,down,TRUE,0,7.953337901794241e-7
Sensitivity analysis 3b,ELOVL4,4,-0.7198293304259896,0.0914834924869776,"[-0.899, -0.541]",-7.868406756863323,3.591861127133362e-15,5.959615982139674e-14,down,TRUE,0,4.586018912330035e-9
Sensitivity analysis 3b,MAS1,4,-1.4811856625824589,0.18881139392868793,"[-1.851, -1.111]",-7.84478961657307,4.336799207672449e-15,7.026969966181764e-14,down,TRUE,0,5.114109076767015e-7
Sensitivity analysis 3b,CCDC102A,4,0.8439793924956507,0.10782319570476225,"[0.633, 1.055]",7.827438122003042,4.979115620608477e-15,7.943604459339987e-14,up,TRUE,0,1.2247061695901605e-7
Sensitivity analysis 3b,NAP1L5,4,-0.8773199621915397,0.1126005778945539,"[-1.098, -0.657]",-7.791433921530279,6.6252959411411375e-15,1.0178417616242016e-13,down,TRUE,0,4.505147352694848e-9
