SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
IFT140,3,0.4029140718960363,0.0449355111749281,8.96649579277165,3.0609762214447346e-19,0.3148420883662801,0.4909860554257925,0,0,1.3801010181035606e-17,8.726020089231437,2.637918453210154e-18,2.2498001501294004e-16,up,5.8238383866942976e-18,2.953212912959407e-17,6.606387361667202e-6,2.801025821622778e-15,3,up,"[0.315, 0.491]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZNF592,4,0.35381346126530044,0.03954768170915493,8.946503207630395,3.669212966205609e-19,0.2763014294433033,0.4313254930872976,0,0,1.6191378067894534e-17,8.582176979631093,9.309426256752511e-18,6.495520433485055e-16,up,5.1583513091504356e-17,2.2908823587104933e-16,7.160646655941309e-12,9.544060465195611e-18,4,up,"[0.276, 0.431]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SIPA1,3,0.689208416559861,0.07709336107143662,8.939919170487629,3.894551301800553e-19,0.538108205412703,0.840308627707019,0,0,1.6827707083196556e-17,8.355769469479238,6.500755447945697e-17,1.6219673066919e-15,up,1.5250228855157935e-17,7.287782176404967e-17,1.794315031469337e-7,1.3914354910881902e-17,3,up,"[0.538, 0.840]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RWDD2B,4,-0.5917918240572406,0.06631564151642344,-8.923864875991285,4.502931556371837e-19,-0.7217680930410997,-0.4618155550733815,6.093965308749552e-4,3.146900010059956,1.8995855922342695e-17,-9.094071404162726,9.539816729642374e-20,1.7421354205539505e-17,down,3.806279438680616e-18,1.9884694095273542e-17,1.8718075008224144e-9,3.4009593303830477e-15,4,down,"[-0.722, -0.462]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FARSB,4,-0.5536710980310886,0.06205685352434819,-8.921997597152652,4.579521678481846e-19,-0.6753002959326886,-0.4320419001294886,0,0,1.8995855922342695e-17,-8.749899358885315,2.1354310549480464e-18,1.8914548601671554e-16,down,7.428533538287773e-17,3.250375223293004e-16,1.6646324859390276e-12,9.979599022215336e-17,4,down,"[-0.675, -0.432]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NT5DC2,4,0.5835819674995222,0.06591382237985287,8.853711504339932,8.465603329503611e-19,0.4543932495516404,0.712770685447404,9.84920667218357e-4,5.310264074778316,3.4426786873314684e-17,8.963541580582415,3.1441395312977365e-19,4.3875577308449164e-17,up,2.458747371573839e-18,1.3454992212781375e-17,6.059630794949538e-11,5.295500968384225e-16,4,up,"[0.454, 0.713]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MSH2,3,-0.484639886200393,0.05481140338870576,-8.841953612526114,9.405927541170742e-19,-0.592068262784353,-0.377211509616433,0.00182412759414783,17.98074910527452,3.751518023151561e-17,-8.926713647720389,4.388515006161782e-19,5.689216664557311e-17,down,1.3617609619340184e-24,1.798912251624939e-23,4.4255564854008286e-8,4.034881657669443e-21,3,down,"[-0.592, -0.377]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TAC1,3,-1.5215625050377033,0.1728211727471451,-8.804259807123886,1.3171895297972787e-18,-1.8602857793880827,-1.182839230687324,0,0,5.1544360090557657e-17,-8.645600650555053,5.352299631188287e-18,4.060062366386521e-16,down,5.046598757529991e-17,2.2460613354328755e-16,1.9352289538601184e-10,1.1074995841363813e-15,3,down,"[-1.860, -1.183]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LYRM9,3,-0.935946399191687,0.10649503640363356,-8.78863870842109,1.5138304773756383e-18,-1.1446728350750908,-0.7272199633082832,0,0,5.814230389031618e-17,-8.61813398894927,6.805401991241112e-18,4.958891933716184e-16,down,2.8426928058905467e-17,1.3130834920750544e-16,3.0024723882730483e-9,1.523990335887579e-12,3,down,"[-1.145, -0.727]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AXIN1,4,0.449778373620147,0.05143139109305741,8.745211126145515,2.2259902584060275e-18,0.34897469940296033,0.5505820478373337,0,0,8.394006901698365e-17,8.420325357393013,3.75440193632073e-17,1.6219673066919e-15,up,3.308916971390955e-16,1.348269901505863e-15,1.2705050917163328e-10,9.40039529838666e-17,4,up,"[0.349, 0.551]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MRPS23,3,-0.4003006702205472,0.04579428671336501,-8.74127973050664,2.3048454445681636e-18,-0.4900558228764438,-0.31054551756465065,0,0,8.536159735775661e-17,-8.558373194209256,1.1447129434062519e-17,7.731778017746704e-16,down,7.446861341284499e-17,3.251534825647168e-16,1.5481961485047167e-9,1.1919595033469085e-15,3,down,"[-0.490, -0.311]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BOC,3,0.4863486399979503,0.05586510766856108,8.70576752278686,3.1543280662171293e-18,0.3768550409751182,0.5958422390207824,0,0,1.1477327033919872e-16,7.509708977086132,5.925895096484977e-14,3.0865852178395063e-13,up,1.4402162094416454e-16,6.108401673582767e-16,0.00287953160265439,2.4944386375865673e-17,3,up,"[0.377, 0.596]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MXD4,4,0.5481985035582301,0.06335242248430611,8.653157717749968,5.009372151385587e-18,0.4240300371556246,0.6723669699608356,0,0,1.7912823865471915e-16,8.50849126991815,1.76211164780128e-17,1.0951746005998545e-15,up,2.6695145871320335e-16,1.098526439228539e-15,4.5664417354936827e-10,9.1310811667826e-15,4,up,"[0.424, 0.672]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PCYOX1L,3,-0.9058120008720608,0.10480436640642037,-8.642884184418582,5.4811473616792006e-18,-1.111224784451184,-0.7003992172929373,0,0,1.9267626488343494e-16,-8.433661159679087,3.350157952613168e-17,1.6219673066919e-15,down,2.0002625175508651e-16,8.347171954528157e-16,2.42594070993987e-10,1.0270822281816633e-15,3,down,"[-1.111, -0.700]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
