study_id,SYMBOL,logFC,SE,P.Value
GSE278723,AKR7A2,0.5554979369862767,0.06479386380307155,1.005515988081612e-17
GSE278723,AKR7A3,0.493748189251029,0.23927660162686554,0.03906478216397932
GSE278723,AKT1,0.5786952337094773,0.07256551667855995,1.5263201044718378e-15
GSE278723,AKT1S1,0.6404238241354491,0.07757900180916154,1.517520731029695e-16
GSE278723,AKT2,0.30558734471727117,0.07097179924520879,1.6641541203790125e-5
GSE278723,AKT3,-0.6366670549083372,0.05899296027880427,3.744872338525496e-27
GSE278723,ALCAM,-0.7448371943354085,0.09788169437547502,2.7501826268956773e-14
GSE278723,ALDH16A1,0.6832216857264846,0.09387740224063365,3.3928836294551085e-13
GSE278723,ALDH1A1,0.714843745665011,0.2534043267302179,0.004788001001221755
GSE278723,ALDH1B1,0.914429577058592,0.27809726514043853,0.0010084286919717588
GSE278723,ALDH1L1,0.7163189532298683,0.08935673563852696,1.0889329171846124e-15
GSE278723,ALDH1L2,-0.5502340142427506,0.10955260382462417,5.098850155015787e-7
GSE278723,ALDH2,0.6137109975604488,0.05648676972165335,1.6980692267191347e-27
GSE278723,ALDH3A2,-0.33698883545609404,0.08739878396853666,1.1537009467530822e-4
GSE278723,ALDH3B1,0.8859679814603926,0.18827764382675508,2.530630550515494e-6
GSE278723,ALDH4A1,1.0248465023873194,0.14143689464082682,4.2937739415942885e-13
GSE278723,ALDH7A1,0.338564911041445,0.15394456312363908,0.027859074968439087
GSE278723,ALDOA,0.7118040963632898,0.07003595437930128,2.8879635150560915e-24
GSE278723,ALDOC,0.8234600116619513,0.07576625740661964,1.6298721123006236e-27
GSE278723,ALG10,-0.5331030220092218,0.174403236055985,0.0022376822549887813
GSE278723,ALG10B,-1.3194391377002248,0.3759294154105085,4.484345516675324e-4
GSE278723,ALG11,-0.336590390351589,0.0608100347982421,3.1102845776941425e-8
GSE278723,ALG12,0.320026203741431,0.12724318685816627,0.01190069434357993
GSE278723,ALG13,-0.5521805035985126,0.06382644760700736,5.0924748418367114e-18
GSE278723,ALG14,-0.6458427314469812,0.0743236934983876,3.637365792148148e-18
GSE278723,ALG2,-0.5666307818275603,0.09864484909551609,9.238402320483704e-9
GSE278723,ALG3,0.5085479049586535,0.06857784941684236,1.2104870238374874e-13
GSE278723,ALG5,-0.47209724732770536,0.12333438781668898,1.2930278448884804e-4
GSE278723,ALG6,-0.8226140223218329,0.1386277059387549,2.956780230059649e-9
GSE278723,ALG8,-0.526673542532439,0.0668986798749133,3.470555379060109e-15
GSE278723,ALG9,-0.3263609542074524,0.05379528682603764,1.3054868326968594e-9
GSE278723,ALK,0.5883214630998995,0.09635315969219825,1.0223159987440522e-9
GSE278723,ALKBH2,-0.39342450222116493,0.14888707197085652,0.008231211248139794
GSE278723,ALKBH4,0.4951167729961315,0.08641497975821566,1.0071234201633207e-8
GSE278723,ALKBH5,0.2646563320724136,0.07444090458247203,3.7761395249885963e-4
GSE278723,ALKBH6,0.28706700758134,0.13670141387126467,0.03573267755032163
GSE278723,ALKBH7,1.0872677262614514,0.0801706893358023,6.735836599445637e-42
GSE278723,ALKBH8,-0.46794907456274415,0.07868881634228124,2.7338378322953003e-9
GSE278723,ALOX15B,1.2365372936337424,0.2709174737315248,5.012636266642014e-6
GSE278723,ALOX5,0.748089580755634,0.17307078989078076,1.543070907145286e-5
GSE278723,ALPK1,-0.5591085381143212,0.1181568433695264,2.224078531633126e-6
GSE278723,ALPL,0.614112984696831,0.28391004930863173,0.030536967785235368
GSE278723,ALS2,-0.41405589616939825,0.05736063375939302,5.257652615785031e-13
GSE278723,ALS2CL,0.70556291764899,0.23896207279244877,0.0031509503293078844
GSE278723,ALS2CR11,-0.7576079310818569,0.1308589644519922,7.059639700126891e-9
