SYMBOL,K,K_used,Z,P,Dir,FDR
CRTC2,2,2,8.501425709485591,1.8727621370031292e-17,up,1.1274895753779843e-15
AKT1S1,4,4,8.499632799141763,1.9019136309200566e-17,up,1.1406361248821708e-15
CROCC,3,3,8.497253151488415,1.9412975647656758e-17,up,1.1579656742655044e-15
GLRX3,2,2,-8.496591202206586,1.9523953654140896e-17,down,1.1579656742655044e-15
CAPN15,3,3,8.496550026947713,1.9530877466287927e-17,up,1.1579656742655044e-15
ZNF706,2,2,-8.494185176141208,1.9932630075403454e-17,down,1.177308715021841e-15
CNOT3,3,3,8.49351449425377,2.004804559168317e-17,up,1.1796572638155309e-15
ACSL4,5,5,-8.485697661365114,2.1442829888836407e-17,down,1.2569851370549852e-15
ZNF618,3,3,8.4793452836293,2.2646467435875768e-17,up,1.3225706619011642e-15
PQLC2,2,2,8.476153876286837,2.3276085520166495e-17,up,1.3542686623729706e-15
VPS50,4,4,-8.474535408425186,2.360195423530925e-17,down,1.3645232837142468e-15
SLC30A9,4,4,-8.474410199021513,2.3627351157753263e-17,down,1.3645232837142468e-15
SPATA7,2,2,-8.469600789798047,2.4623547367689672e-17,down,1.4145830899992865e-15
MAF1,4,4,8.469354807424807,2.4675598055525296e-17,up,1.4145830899992865e-15
PSMC6,3,3,-8.465267823711091,2.5556473543254526e-17,down,1.4597146225639847e-15
PPIP5K2,3,3,-8.464661487040289,2.568977434082043e-17,down,1.461973179913916e-15
KCNT2,2,2,-8.460885556270238,2.653547151690608e-17,down,1.5046094813204237e-15
VMA21,3,3,-8.457752878277446,2.725789867157897e-17,down,1.5399725144417786e-15
ZBTB20,4,4,8.456877564028007,2.7463200223415143e-17,up,1.5459699678112358e-15
ATP6AP2,3,3,-8.454432495859686,2.8044798459105853e-17,down,1.5730307279598472e-15
WDR3,2,2,-8.453907363739548,2.817128566190225e-17,down,1.5744618542152033e-15
TLK1,2,2,-8.452691587207534,2.8466290466579874e-17,down,1.5829451492306964e-15
PIGB,2,2,-8.452446586894991,2.852610703096426e-17,down,1.5829451492306964e-15
PLAA,4,4,-8.45092581382687,2.8900185691138914e-17,down,1.5980162960352097e-15
RAVER1,3,3,8.444570829336586,3.05164492759158e-17,up,1.6814240055100884e-15
SUPT6H,2,2,8.438577811095678,3.212220876778077e-17,up,1.7636676102676254e-15
NPRL3,3,3,8.434984109218751,3.312478122704083e-17,up,1.812332328678062e-15
PCYOX1L,3,3,-8.433661159679087,3.350157952613168e-17,down,1.8265389145138855e-15
NMRK1,2,2,-8.431860815307362,3.402114810855071e-17,down,1.8449521022056055e-15
PEX6,4,4,8.431672524593946,3.407594468256361e-17,up,1.8449521022056055e-15
RXRA,4,4,8.42973824553663,3.464392642674993e-17,up,1.8692136497311822e-15
PRMT2,4,4,8.42644839103211,3.563148593126559e-17,up,1.915868138366291e-15
UBA5,3,3,-8.424568802990732,3.620811874381036e-17,down,1.9352482353899335e-15
HOMER3,4,4,8.424465297774779,3.6240138827285354e-17,up,1.9352482353899335e-15
CDYL,2,2,8.423703107279255,3.647678969635998e-17,up,1.941237480325397e-15
TMEM184B,4,4,8.422078219854926,3.698639829977261e-17,up,1.9616629547222932e-15
NINJ1,4,4,8.420738429299718,3.741187056565758e-17,up,1.971799107314391e-15
AXIN1,4,4,8.420325357393013,3.75440193632073e-17,up,1.971799107314391e-15
VAMP4,2,2,-8.420285253106531,3.75568739095988e-17,down,1.971799107314391e-15
ZNF891,3,2,-8.418297718638225,3.8199403050860633e-17,down,1.998802992523724e-15
CD151,3,3,8.417333713925677,3.851493918771705e-17,up,2.0085734005152906e-15
GIT1,3,3,8.412805543853889,4.0031832177259054e-17,up,2.0390703913993222e-15
HMG20B,4,4,8.407970215078077,4.171670478928937e-17,up,2.0390703913993222e-15
DDHD1,4,4,-8.407235854638332,4.197863868950902e-17,down,2.0390703913993222e-15
ZHX2,2,2,8.407097174922642,4.202828518308602e-17,up,2.0390703913993222e-15
MGAT5B,3,2,8.402668457078205,4.364456079322049e-17,up,2.0390703913993222e-15
PHRF1,2,2,8.40193423225248,4.3918379968993184e-17,up,2.0390703913993222e-15
TMEM135,2,2,-8.40107434033827,4.4241219938495216e-17,down,2.0390703913993222e-15
ZNF365,4,4,-8.396337335724816,4.6062109548380046e-17,down,2.0390703913993222e-15
NT5C3A,2,2,-8.394327467234021,4.685685211198446e-17,down,2.0390703913993222e-15
SLC25A46,3,3,-8.39432282348678,4.6858703914235557e-17,down,2.0390703913993222e-15
AKAP11,2,2,-8.394182994616676,4.6914497754112156e-17,down,2.0390703913993222e-15
ACADSB,4,4,-8.388938369908384,4.9055176490433595e-17,down,2.0390703913993222e-15
RFK,3,3,-8.38891035285587,4.9066866942164115e-17,down,2.0390703913993222e-15
KITLG,2,2,-8.388487231129863,4.9243754056029974e-17,down,2.0390703913993222e-15
LETMD1,4,4,-8.385738602614461,5.040823727096595e-17,down,2.0390703913993222e-15
CSK,3,3,8.384115988905169,5.110837935858042e-17,up,2.0390703913993222e-15
ZNF461,3,3,-8.382638563022848,5.17542121616633e-17,down,2.0390703913993222e-15
MYSM1,3,3,-8.379310082044347,5.323884537075345e-17,down,2.0390703913993222e-15
SKI,4,4,8.379300122851433,5.324334999319221e-17,up,2.0390703913993222e-15
MRS2,2,2,-8.378372675912924,5.366449339705963e-17,down,2.0390703913993222e-15
