"","AD-21","AD-20","AD-23","AD-22","AD-26","AD-24","AD-27","AD-25","AD-29","AD-31","AD-28","AD-30","HCO-18","HCO-11","HCO-19","HCO-13","HCO-15","HCO-16","HCO-12","HCO-14","HCO-10","HCO-17","HCY-2","HCY-4","HCY-6","HCY-8","HCY-9","HCY-3","HCY-5","HCY-7"
"LOC374443",1.87274084559713,1.7418204704167,2.20389188733011,2.54432799095025,2.15729005114895,1.69796074689543,2.17519052816369,2.65074868222075,2.18188690658023,1.62213729173341,3.75431075933031,1.33943739953826,2.58297059116552,0.439306142570085,2.52062161032311,1.81338137078719,2.01847488935766,1.74197323432516,2.2165961149677,1.94724640448881,2.04604915282452,1.7723162641983,1.55211472755953,1.37274058852644,0.811002886612621,2.42353696766253,1.08172195759952,2.68418310024513,2.19388466277961,1.65742343442241
"CLEC7A",1.3203341096451,2.30399672947849,2.84711137150832,3.36598787838339,0.909039852900121,1.65830363816051,0.63893768717129,2.0551354357228,0.447908763157478,1.16656287073108,3.03865180564943,2.23363213732992,3.34079644239679,-0.144408954856469,2.13438395193666,3.55157901394213,1.75006784257999,1.51515374665465,1.19473910125346,0.569124597291583,1.21457373592569,2.68271840097146,1.82227828536451,1.33333240469646,0.45766836238442,3.27213945528701,-0.5729114087543,2.9598379577123,2.83316453779241,1.65742343442241
"OLR1",2.49412849883238,3.20807206121316,2.65668569977523,3.34596281996263,2.69951297241034,0.653531995025247,1.65191566666846,3.14222653193842,1.30978247241348,3.11487627443688,4.91748919720188,2.9348451305363,3.87922841808944,-0.406695436088213,1.97864610721167,2.92376842112908,2.90508065372773,2.26448105276698,2.98029425361148,1.53091970265533,1.60612340658622,4.26606567590936,2.56002813667462,2.0923212577698,1.5349385654145,3.65934064210973,-0.109147718904445,4.45528767914764,3.11609537478655,3.34113442340903
"GABARAPL1",7.28635397394746,7.81699736349493,6.69843064999918,7.08459669194089,7.24572486271276,6.52777055666882,6.53552687628862,6.55271511867441,7.16212771009648,6.98329336351381,6.7943104901455,7.45706000487352,7.53229599551253,7.44805473244102,7.02142763171112,6.97044607297345,6.96788709353307,8.44905935505252,7.96989225747063,6.8763323559889,8.35634608001145,8.16113939983318,8.3444928417423,8.56066324908335,8.55956952895957,6.70510020461266,7.81790169420723,6.73698245178714,7.06107423260627,7.41500083725162
"YBX3",5.1304643106422,4.92397031662477,4.97552073501818,5.47540002948138,4.72973668549891,5.17219768432035,5.68190919350809,5.18417111986787,4.65086291981987,4.37500165553047,4.88291820242572,5.2661945278561,4.80467819361933,5.93582336465094,5.29144349285897,6.04620041952593,4.3776952864503,5.04567862220304,4.85302796985277,5.30186925431081,4.08830326245577,6.24782182687906,4.68156319146239,4.74808568517832,4.77023743924908,4.49496427895245,6.13798609856334,4.50242887241274,5.11758746854354,5.0055423557445
"MAGOHB",2.85738538420932,2.75936030487802,2.32528254187015,2.9278680935864,2.15729005114895,2.44457127142296,1.87615259145739,3.01152758198344,2.60437613606962,2.39108684095074,2.53658948275583,2.7961596062491,2.52855632140152,1.79142306208511,2.89636916923636,2.5688478898927,2.46037391128788,2.3456490755144,2.4090925885754,2.89906923657438,3.01962417482749,3.06297829147469,2.58664382718448,2.48288785461175,3.1569305713764,3.48934330493439,2.67004900977513,2.56235401351434,2.73474977384098,2.01973962999628
"STYK1",3.28633692239094,4.07816260958035,2.34838141929464,2.11806550936322,2.55327504324855,1.48778304368971,2.65836113784397,-0.767753792800683,2.40854217127364,2.6234977269682,2.78146930028198,3.39509468579066,2.61813902234638,3.42706910853919,2.98089684371619,2.5688478898927,3.56641567620978,4.43948031001013,3.77768866393898,2.51143103521026,4.19474859863221,3.83113479662403,4.18113506364275,4.10797120882376,4.49588969061455,-0.802812478816052,4.53520563619715,0.51676573928557,1.66247721516756,2.93685921081363
"PRH2",2.21663420310183,2.05012005229328,2.6000715995133,2.52664579493649,2.3905242499445,2.90051313051797,2.50564330132215,2.65074868222075,2.09766579030984,2.41383187787944,2.60181505504699,2.39611749229043,2.41315450821647,1.22253041002006,2.69089036621632,1.45987736691118,2.55721633548958,1.64909463346747,2.30533440863045,2.69883454951505,2.36254900245539,1.3866928756848,1.41031674116028,1.33333240469646,2.16941943558953,2.68679849618712,1.7973882180815,2.37241217465743,2.37282447525038,2.47406529197228
"TAS2R13",1.72412799491017,1.80897657232661,2.01471160518487,1.9424950947072,2.32442570199507,1.91541867901836,1.79059323816293,2.02533444212099,1.66228897488098,1.69822573584091,1.64096605490852,1.92298131910661,1.79833966289286,-0.269599823144373,2.13438395193666,1.45987736691118,1.78247861726481,1.32808938365101,1.99440180893637,1.73513176800471,1.94121630919774,1.45855258412892,1.03845698233876,0.919776307247515,1.77876159537507,1.72224522083872,1.29654352111298,1.85466573192623,1.59995239505221,1.62268587883729
"TAS2R19",1.26760836120137,1.51927438314351,1.92536813879537,2.78644072353104,1.93907156979643,2.39717347937935,1.49847632727467,2.02533444212099,1.81075316610467,1.36635327179687,1.79764978338853,1.81217707345849,1.79833966289286,-0.0292195040210858,1.84069201449122,1.58758108731262,1.50018070655574,1.44321173051526,2.52448978193605,1.06955211753292,2.07110889944061,1.49318330370921,1.46871871790079,1.02246128954838,1.41635057455579,3.00153152460855,1.7973882180815,2.70736129330706,2.46341304629969,1.55059610295504
