"Gene","Region","Low(<=3)","High(>3)","log2FC","signed_FC","p_value","FDR"
"SCG2","OCCIPITAL LOBE",5.61874189179679,4.56715597493267,-1.05158591686412,-2.07280717837823,0.0222582554771485,0.0585359744028077
"SERPINI1","FUSIFORM GYRUS",6.0125114769357,5.63496952518046,-0.377541951755241,-1.29912653098827,0.058271433399545,0.0770015369922559
"SERPINI1","HIPPOCAMPUS",5.73272956995389,5.95224358056508,0.219514010611187,1.16434129785695,0.99319399802378,0.996008404513043
"SERPINI1","LATERAL TEMPORAL CORTEX",6.18047711840489,5.28834005964449,-0.8921370587604,-1.85592326079132,0.01695604462897,0.0427580514436919
"SERPINI1","OCCIPITAL LOBE",6.35496412067953,5.33779759054761,-1.01716653013192,-2.02394001174662,0.0256585467303376,0.0585359744028077
"STAT4","FUSIFORM GYRUS",3.57580536154682,2.77305333007441,-0.802752031472413,-1.74442555620087,0.00236663612381368,0.00729712804842551
"STAT4","HIPPOCAMPUS",2.8464019027385,3.43914608193294,0.592744179194433,1.50811263222642,0.101479134626848,0.616010486421672
"STAT4","LATERAL TEMPORAL CORTEX",3.21369044222672,2.26413909748399,-0.94955134474273,-1.93127196952556,0.0255163387512577,0.0472052266898267
"STAT4","OCCIPITAL LOBE",3.55122691611406,2.46421957355768,-1.08700734255638,-2.12432918467767,0.0577857780394691,0.0714659269702897
"TCEA3","FUSIFORM GYRUS",2.24684823857702,2.27069875941632,0.0238505208392916,1.01666932964898,0.892307072093357,0.892307072093357
"TCEA3","HIPPOCAMPUS",1.6898072995916,2.66787961510243,0.97807231551083,1.9698316217026,0.0868811685349527,0.616010486421672
"TCEA3","LATERAL TEMPORAL CORTEX",1.89633073607063,2.45593730592019,0.559606569849558,1.47386723151915,0.0246982148498533,0.0472052266898267
"TCEA3","OCCIPITAL LOBE",1.72869228923339,2.38633843151781,0.657646142284424,1.57750671053733,0.00880876619527649,0.04656062131789
"TMPRSS5","FUSIFORM GYRUS",3.9638869748564,4.18671417222966,0.222827197373257,1.16701831073184,0.425071110102288,0.449360887822418
"TMPRSS5","HIPPOCAMPUS",3.38613040177154,4.52574534961379,1.13961494784225,2.20322211809877,0.248150823194406,0.616010486421672
"TMPRSS5","LATERAL TEMPORAL CORTEX",3.45245684259763,4.15467505809264,0.702218215495009,1.62700447095545,0.0747807337676734,0.0890932677405464
"TMPRSS5","OCCIPITAL LOBE",3.73712960934036,4.18400079695539,0.44687118761503,1.36308089788786,0.148046024281019,0.161108908776403
"TRIM36","FUSIFORM GYRUS",4.07502902914821,3.56941495878567,-0.505614070362534,-1.41972752205396,0.0126459127378116,0.0222808938713824
"TRIM36","HIPPOCAMPUS",4.16242125420897,3.48343123873813,-0.67899001547083,-1.60101854102801,0.216548131935797,0.616010486421672
"TRIM36","LATERAL TEMPORAL CORTEX",4.02076232095498,3.43655280444572,-0.584209516509255,-1.49921731094655,0.155489965646556,0.169209668497723
"TRIM36","OCCIPITAL LOBE",3.84304122833319,3.46194733681461,-0.381093891518582,-1.302328943214,0.418168866028754,0.429784667862886
