"","01.CA1","02.CA1","04.CA1","05.CA1","06.CA1","07.CA1","08.CA1","09.CA1","10.CA1","11.CA1","12.CA1","13.CA1","15.CA1","16.CA1","17.CA1","18.CA1","19.CA1","20.CA1","21.CA1","22.CA1","23.CA1","24.CA1","25.CA1","26.CA1","27.CA1","28.CA1"
"TRMT112",2.8910375416556,2.20586495154971,2.67785081565034,3.97888941297468,2.33078369213742,2.95388749864331,2.51909182348371,2.58519012689198,2.24425993916582,2.41684563726295,2.3986799484343,2.4004491671785,2.74974492149523,3.65198837705248,2.90969200842829,3.63171096835323,2.22958581836564,2.53175267344133,3.17163017056891,1.30550232925779,3.06228108841829,3.27875992459554,3.30034692684076,3.49356618047586,3.56377779469904,2.54132876414358
"LRRN3",3.83700096063764,3.15543614288414,3.21337727882628,1.62757254209018,4.24451485033906,3.69474923086631,4.40730070973629,2.0087893547232,3.89670252362633,3.49405447285911,4.24997842099632,3.04981065316954,2.48606751987695,2.26483396751307,3.50678689365604,2.39408601590645,2.57843767849999,1.63713628988948,2.34764842339503,2.28450170292891,2.23423324542058,1.26791959118057,3.46243912570625,3.71362042535346,2.9685786880797,2.88545324319313
"KDM2A",6.40084682632424,6.78057916799258,6.50256777354455,6.52094871584792,6.57079727186339,6.71947401627226,6.55061175245408,6.76525768694867,6.41221389336917,6.24962705601971,6.57024625955904,6.53680962940019,6.78250658468326,7.13440883910543,6.53884510005671,6.92755437001816,7.07078855615758,7.1710414402392,6.76907114005467,7.01072366385134,7.21189676066308,6.88330856215461,6.18874394315571,6.9603777513176,6.8370143925428,6.86424959764267
"ADCK5",2.17470856900689,3.21386707893973,2.39191887246229,2.10343794317019,2.00485492208962,2.44828046743514,2.11893100917082,2.32558651207194,2.56183094328794,2.25566104899736,1.81142731407754,1.9513161308839,2.78635115184718,2.89866133048814,2.8879871402676,3.72484734258305,2.09164876353734,4.04650625559922,1.07738233239558,2.79890921289227,3.26822194715764,2.81568852760285,2.08391193956987,3.27629158167889,3.11485523495552,3.16309775856195
"MRPL57",3.44020146612077,1.75954925778344,2.33822613581492,2.68038389563649,2.74069048988286,2.48064597991553,3.01470640051907,2.87157074756168,2.70535669475473,2.10605389428767,2.85056871258791,2.30058481381873,3.09438097492765,3.22514573192374,2.95910179593299,3.05959467582984,2.78946680939362,2.91919594804895,2.55436293814413,2.73250006632596,3.63169523812906,2.41109284072936,3.0241851613401,3.55698530004365,3.00119629197216,3.50780028628526
"NOC3L",3.93525778528514,3.58243972145976,3.99876095883969,5.0299439899056,3.39215043516964,3.82019165643524,3.07079937811828,3.92833505919792,3.92304891998451,3.93665672255243,4.01843226998955,3.49600078094009,3.15162317977165,3.22514573192374,3.17163696962968,2.75688220440734,2.61917420469139,2.9291549918869,3.3149303486077,3.273885629991,3.12883433471423,3.04078739808438,3.32408756542504,2.99007560354727,2.92390872113487,2.73782802605241
"ESRRA",3.1048352889849,3.30628207540746,3.05597100401642,3.60233736405247,3.52557867541437,3.02144496773094,2.74275538395195,3.7277162594235,3.38319529299271,3.59859340786661,3.33946656990783,4.23156935085068,4.83748484296499,4.95584367541105,3.86628395114929,4.37408674711705,5.33774803093653,3.24837430100633,4.17844998446241,4.79861925709444,5.18005398395659,3.92585849370748,3.5951951896566,4.00394744970832,3.5343636350778,4.26421338820915
"COMMD1",2.48062379005374,3.34165184992596,2.36532227483876,3.23706707591518,2.80772760624719,2.66092848857237,3.53687344996136,2.90367925274508,2.91677596545026,3.09403421098467,2.88541379304354,2.64401834496135,2.0472948892588,2.68161551918406,3.07249047789563,3.02004849086225,2.44883553759006,3.76446591045543,2.25588827257474,1.77016515834289,2.67381430087341,3.01174996462731,2.78284522945177,2.61951845531438,2.70377794561016,2.68016636365756
"RAPH1",6.23826295496215,5.18618446158333,5.76889861828893,5.73326879039105,7.36355347788773,5.98935964147098,6.39085640911727,5.11520980726225,6.21974168069689,5.91369917758141,6.27740736632322,5.98761742455039,5.27434982185598,5.99330838872864,6.04548284077871,5.58085802681209,5.1900897616596,6.12323956231377,5.06504833845301,4.90797276006925,5.18787932886939,5.26924063650784,5.51764516898566,6.12768634567438,5.63549839247828,6.04863447234872
"MTX1",2.05639792379589,1.02543791410605,1.77693494252919,1.12722373298692,1.55218021467284,1.92070045125524,1.21062927380448,1.52179627687511,1.91731316637436,1.38496033850067,2.5583566198369,1.7388198899754,2.41770928734995,1.71849705538469,1.81249295331933,2.21886800392018,2.14841572479777,2.14417993675966,2.15789305954629,2.22133260061125,2.0054006569867,2.42216987808848,1.84226702238341,2.22749066867295,2.57968444887677,2.50857357466567
