SYMBOL,logFC,SE,P.Value,acc,region
AGAP1,0.314318763087819,0.14776882103110528,0.0421017061521618,GSE278723_CA1,hippocampus_CA1
AGAP2,0.579859519099329,0.2513107159409013,0.0284217240294564,GSE278723_CA1,hippocampus_CA1
AGAP3,0.375616375547458,0.16608506966068312,0.0314488210283397,GSE278723_CA1,hippocampus_CA1
AGBL3,-0.726920761259387,0.19128399869411886,6.9182748571083e-4,GSE278723_CA1,hippocampus_CA1
AGBL5,0.550717126045247,0.16782058081549922,0.00270596007348606,GSE278723_CA1,hippocampus_CA1
AGFG2,1.02526510667299,0.1916598159597562,9.80233919673561e-6,GSE278723_CA1,hippocampus_CA1
AGGF1,-0.641440394876814,0.12558779728501354,1.9153309908117e-5,GSE278723_CA1,hippocampus_CA1
AGL,-0.419496901928837,0.15243139873578898,0.0101367717770201,GSE278723_CA1,hippocampus_CA1
AGO3,-0.803137953182382,0.20907732790208003,6.1954860477797e-4,GSE278723_CA1,hippocampus_CA1
AGO4,-0.250409757985275,0.12188730958805452,0.0491054055613677,GSE278723_CA1,hippocampus_CA1
AGPAT1,0.69011402860442,0.17330457181657377,4.2387719657632e-4,GSE278723_CA1,hippocampus_CA1
AGPAT2,0.622637997810251,0.2333392417725936,0.012381715859545,GSE278723_CA1,hippocampus_CA1
AGPAT3,0.713598784073834,0.16778833247841715,2.0273434908597e-4,GSE278723_CA1,hippocampus_CA1
AGPS,-0.646771884579939,0.1329257020749581,3.74333114876115e-5,GSE278723_CA1,hippocampus_CA1
AGRN,0.701886250433803,0.20665973245406546,0.00201116649801064,GSE278723_CA1,hippocampus_CA1
AGT,1.36330373001097,0.1849435443674055,4.19910026980729e-8,GSE278723_CA1,hippocampus_CA1
AGTPBP1,-1.09597011513263,0.2908585893577169,7.5404233674975e-4,GSE278723_CA1,hippocampus_CA1
AGTRAP,0.738287254000181,0.24015611963187802,0.004585660610209,GSE278723_CA1,hippocampus_CA1
AHCTF1,-0.483500758148591,0.12946244260519527,8.2435777400753e-4,GSE278723_CA1,hippocampus_CA1
