SYMBOL,max_loo_p,min_loo_p
CSRNP1,6.643777372620627e-6,2.9804591190478935e-11
CSRNP3,7.703814784979585e-4,3.0045184582241943e-7
CSRP1,0.02922036920070208,5.700134287466093e-14
CTC1,0.9503043028866143,6.373061301631083e-4
CTDSP2,5.7517742099772114e-5,1.059646506081422e-11
CTSH,7.439657552831266e-4,1.6116992968279273e-4
CTSO,0.05546851267872213,1.2081105557853958e-4
CUX2,0.9421485324401909,0.006390950061091212
CXCL16,1.4983624493419484e-5,9.06209735539892e-9
CXXC1,0.005576363712691655,9.888160434089281e-8
CYB5D2,0.7525639149731509,2.055000608481877e-7
CYCS,0.0026890412267058365,1.9477368882322482e-8
CYP20A1,0.9923061657495147,2.1560326425926816e-10
CYP4X1,2.944493052674167e-6,4.833328614017911e-10
CYSLTR2,0.8481488709156055,1.4160379844864902e-11
DAB2,0.9904516933587081,7.635648793879329e-5
DAPK1,0.9477064941530237,2.436937033476756e-7
DAXX,5.459124511760905e-5,4.4752244359550135e-10
DBNDD1,0.9564343649023682,2.450382104095332e-4
DCAF4,0.6299725105716362,6.753897070394821e-11
DCAF8,7.185818790746323e-5,1.6326593392941356e-6
DCBLD1,2.725588247839663e-5,5.43160379373629e-15
DCC,0.004367282083113598,3.571901344162313e-6
DCHS1,0.016173533674797767,3.285965592646068e-12
DCLK1,7.879870656540579e-4,1.278230824049517e-7
DCN,0.9895467475078703,2.757453830622006e-6
DCT,0.6748519717656365,4.389217533404625e-6
DCTN1-AS1,2.600789529437825e-4,8.90608194144598e-8
DCTN3,0.8992641480024102,3.517175640295494e-6
DCTN6,5.702452625782326e-4,2.5653702773794148e-8
DDAH2,0.0016840203876186505,1.1196250150544925e-16
DDHD1,2.938386706441906e-7,3.739862584410694e-13
DDHD2,5.266358192261372e-4,1.8634372573270602e-18
DDIT4,2.683936169133195e-8,3.5375434674639127e-14
DDIT4L,0.5376590956559795,0.008584331549546763
DDR1,0.2198074917760194,4.140804538420398e-4
DDR2,0.8383957807820187,0.002023850452022014
DDX1,9.923377155300916e-4,3.5139278942020185e-10
DDX24,1.2004772693653302e-6,2.6520885858213125e-9
DDX25,4.56898793398461e-4,1.968270403350543e-8
DDX39A,1.520253693802047e-4,2.0168619720910784e-7
DDX51,0.9375329069344446,1.5155951473423825e-8
DEK,0.9201618183957185,1.0973259315978427e-7
DGKB,3.1118154703991096e-5,1.4058274120570838e-8
